Time,Load in lbs,Left right Center of pressure in cm
0,198.7670869,0.020378157
0.000998516,198.7695071,0.020366062
0.002000604,198.7717745,0.02035408
0.002997849,198.7740474,0.020342046
0.003998717,198.7762564,0.020330233
0.004997388,198.7786561,0.020318525
0.005999166,198.7812827,0.020306654
0.006997278,198.7839781,0.020294676
0.00799693,198.7867544,0.020282634
0.00899302,198.7896468,0.020270728
0.009992411,198.7925333,0.020258884
0.010994728,198.7951617,0.020247149
0.011992046,198.7975211,0.020235843
0.013010886,198.7995397,0.020224917
0.01399257,198.8014191,0.02021443
0.014990046,198.8030214,0.020203912
0.015991197,198.8044604,0.020193464
0.01698902,198.8060147,0.020183005
0.017987944,198.8073243,0.020172564
0.019010416,198.8086278,0.020162261
0.02000888,198.809784,0.020152374
0.021008079,198.811117,0.02014209
0.022007836,198.8125664,0.020131934
0.023009589,198.8140387,0.020122125
0.02400673,198.8153466,0.020112514
0.025007773,198.8165812,0.020102864
0.026001999,198.8174015,0.020093789
0.027003853,198.8181156,0.020084972
0.028007754,198.8186396,0.020076264
0.029005224,198.8190807,0.020067653
0.03000256,198.8194756,0.020059449
0.031002235,198.8200254,0.020051361
0.032003849,198.8206319,0.020043044
0.033003282,198.821231,0.020034599
0.033996444,198.8218401,0.020026115
0.034998484,198.8222617,0.020017912
0.035995458,198.8227538,0.020009795
0.036997127,198.8232893,0.020002355
0.037996755,198.8238115,0.019994998
0.038999691,198.8245565,0.019987516
0.039996205,198.8255821,0.019980004
0.040996329,198.8266957,0.019972388
0.041995899,198.8280123,0.019964425
0.042997201,198.829346,0.019956181
0.043992552,198.8310534,0.019948012
0.044993866,198.833002,0.019939945
0.045991474,198.8352586,0.019931915
0.046992478,198.8376445,0.01992395
0.047990975,198.8401009,0.019916241
0.049011169,198.842646,0.01990863
0.050009457,198.8452993,0.019900835
0.051009548,198.8480826,0.019893235
0.051989198,198.8508956,0.019885675
0.05300825,198.8539852,0.019878149
0.05398913,198.8574158,0.01987032
0.055006901,198.8610825,0.019861957
0.05600516,198.8650662,0.019853464
0.057004328,198.8692205,0.019844694
0.0580039,198.8737698,0.019835856
0.059004024,198.8785646,0.019827019
0.060002228,198.88348,0.019818279
0.061003214,198.8883456,0.019809809
0.062005089,198.8931439,0.019801509
0.063004764,198.8977797,0.019793496
0.064002661,198.9023568,0.019785477
0.065001525,198.9071594,0.019777268
0.066001664,198.9121056,0.01976896
0.067000954,198.9172716,0.019760451
0.067997975,198.9224862,0.019752109
0.069000433,198.9276594,0.019744167
0.069997239,198.9329107,0.019736587
0.070998805,198.9382262,0.019729195
0.0720006,198.9435674,0.019721768
0.072996701,198.948989,0.019713965
0.073996732,198.9543307,0.019706288
0.074997001,198.9595608,0.019699048
0.075996727,198.964613,0.019691834
0.076998632,198.9694859,0.019684668
0.077998785,198.9742916,0.019677568
0.078995273,198.9791674,0.019670745
0.079994954,198.9840164,0.019664028
0.081012877,198.9887824,0.019657531
0.082013217,198.9934209,0.019651197
0.082989697,198.9980066,0.019645138
0.083990911,199.0024418,0.019639232
0.084987417,199.0065969,0.019633784
0.085987586,199.0104797,0.01962828
0.086989065,199.0141984,0.019622891
0.088010201,199.0178337,0.019617368
0.0890072,199.0214253,0.019611844
0.090006214,199.0248818,0.019606307
0.091005374,199.0283111,0.01960046
0.092006875,199.031862,0.019594865
0.093004151,199.0351916,0.019589184
0.094003447,199.0383306,0.01958356
0.095005451,199.0412124,0.01957803
0.09600291,199.0439405,0.019572778
0.097002668,199.0463316,0.019567323
0.098002627,199.0486391,0.019561661
0.099003588,199.0507518,0.019555999
0.100001617,199.0527112,0.0195509
0.101002191,199.054491,0.019545552
0.101999286,199.0562449,0.019540346
0.103002074,199.0581602,0.019535368
0.104000564,199.0600373,0.019530515
0.104999174,199.062007,0.019525409
0.105997249,199.0640555,0.019520263
0.106999667,199.0659089,0.019514674
0.108019811,199.067703,0.019508811
0.108994751,199.0692988,0.019502998
0.109994293,199.0706978,0.019497312
0.110992307,199.072019,0.019491871
0.111991207,199.0729756,0.01948663
0.112993101,199.073724,0.019481211
0.113993762,199.0744971,0.019475849
0.114993997,199.0752187,0.019470389
0.11599417,199.0758412,0.019464532
0.116991745,199.0763336,0.019458596
0.117990175,199.0765348,0.019452669
0.119012544,199.07663,0.019446949
0.119988279,199.0765686,0.019440997
0.121009959,199.0762236,0.019435004
0.122008769,199.0757229,0.019428902
0.123008013,199.0750017,0.019422384
0.124005538,199.0742435,0.019415753
0.125005852,199.0733114,0.019408938
0.126006194,199.0720859,0.019401927
0.127007174,199.0706049,0.019394768
0.128007993,199.0691561,0.019387352
0.129003067,199.0675041,0.01938
0.13000574,199.0657585,0.019372304
0.131004512,199.0638004,0.01936418
0.13200337,199.0614627,0.019356214
0.133000385,199.0587147,0.019348169
0.134001692,199.0557048,0.019340287
0.135000049,199.052149,0.019332525
0.136001191,199.0480562,0.019325138
0.136999979,199.0435954,0.019317759
0.138000014,199.0390531,0.019309997
0.138997741,199.0346315,0.019301867
0.139999235,199.0300691,0.019293226
0.140996922,199.0253499,0.019284705
0.141988465,199.0205936,0.01927565
0.142997039,199.0155739,0.019266696
0.14399498,199.0102905,0.019258029
0.144994036,199.0047351,0.01924938
0.145997023,198.9989503,0.019240702
0.146996046,198.9929826,0.019232001
0.147994115,198.9867673,0.019223167
0.148991117,198.9802572,0.019214404
0.149993432,198.9735666,0.01920601
0.150990631,198.9667548,0.019197609
0.151991717,198.9597804,0.019189434
0.153010483,198.9528802,0.019181037
0.153989646,198.9460201,0.019172498
0.15500737,198.9392682,0.019163541
0.155987051,198.9325901,0.019154907
0.157008315,198.9260042,0.01914632
0.158006625,198.9195907,0.019137826
0.159007104,198.9131469,0.019129568
0.160005395,198.9068412,0.01912164
0.161004725,198.9004527,0.019113672
0.162007463,198.8941219,0.019105893
0.163003609,198.8879233,0.019097639
0.164003521,198.8821103,0.019089152
0.165008328,198.8766095,0.019080574
0.166004496,198.8715137,0.019072071
0.167002167,198.8668314,0.01906342
0.168002852,198.8624157,0.019055198
0.169004098,198.8583657,0.019047098
0.170005903,198.8546104,0.019039099
0.171000193,198.8511873,0.019031038
0.172000201,198.8480659,0.019022761
0.172997521,198.8453526,0.019014411
0.173997191,198.8428579,0.019005809
0.17499359,198.8408579,0.018997026
0.175999741,198.8392553,0.018988293
0.176998076,198.8378755,0.018979479
0.177998078,198.8368819,0.018970921
0.17899689,198.8364172,0.018961885
0.179998988,198.8364361,0.018952725
0.180996923,198.8369447,0.01894356
0.181993069,198.8376134,0.0189347
0.183014378,198.8383921,0.018925728
0.183992907,198.8393624,0.01891674
0.184993234,198.8402136,0.018907725
0.185993798,198.8413637,0.018899013
0.186994613,198.8428231,0.018889944
0.188009819,198.8445305,0.018880563
0.189010042,198.8466139,0.018871108
0.190008616,198.8492156,0.018861302
0.190989503,198.8522374,0.01885149
0.192008342,198.8555194,0.018841857
0.192987423,198.8589153,0.018831976
0.194009588,198.8623596,0.018822231
0.195005848,198.8658642,0.01881243
0.196005532,198.8692751,0.018802279
0.197005838,198.8727658,0.018792217
0.198002287,198.8762248,0.018782175
0.19900536,198.8797456,0.018772113
0.200002703,198.8833633,0.018762285
0.201001327,198.8869989,0.018752668
0.202006482,198.8907463,0.018742843
0.203004826,198.8948291,0.018733101
0.204002367,198.8990532,0.018723312
0.205000864,198.9035424,0.018712877
0.206005,198.9082652,0.01870211
0.207005704,198.9131298,0.018690994
0.207998667,198.9181742,0.018679942
0.2089974,198.9230353,0.018669243
0.209998384,198.9277444,0.018658769
0.210997622,198.9323025,0.018648475
0.211995914,198.9366457,0.01863798
0.212998109,198.9411748,0.018627518
0.213996883,198.9458733,0.018616854
0.214996165,198.9505803,0.018605743
0.216000156,198.9553605,0.018594623
0.216993947,198.96023,0.018583664
0.217991226,198.9649988,0.018572576
0.218995484,198.9697297,0.018561349
0.219990964,198.9743256,0.018550218
0.221011589,198.9788286,0.018539195
0.222010928,198.9831042,0.018528369
0.222992153,198.9871999,0.018517593
0.223990597,198.9911759,0.018507059
0.224991328,198.9950456,0.018496295
0.226012848,198.9988893,0.018485651
0.227006477,199.0027095,0.018474759
0.2280075,199.006414,0.018463998
0.229006072,199.0100422,0.018452887
0.230004992,199.0136187,0.018441719
0.23100742,199.0171827,0.018430882
0.232003281,199.0206932,0.018420235
0.233004211,199.0239015,0.018409406
0.234002312,199.0266667,0.018398766
0.235003356,199.0291918,0.018388333
0.236005687,199.0316179,0.018377962
0.237002085,199.0336694,0.018367779
0.238003653,199.0357628,0.018357771
0.239002213,199.0377323,0.018347565
0.240001296,199.0396865,0.018337213
0.24099994,199.0416781,0.018326705
0.241998599,199.0436689,0.018316256
0.242999539,199.0454763,0.018305883
0.244005243,199.0470778,0.018295798
0.244998377,199.0485111,0.018286001
0.245997222,199.0496988,0.018276079
0.246998437,199.050722,0.018266267
0.248016722,199.0516251,0.018256427
0.248999473,199.0522864,0.018246546
0.249994302,199.0528627,0.018236611
0.250996263,199.0532922,0.018227089
0.252017403,199.053512,0.018217856
0.252990862,199.0537817,0.018208646
0.253989783,199.0542559,0.018199194
0.254992088,199.0546038,0.018189645
0.255989402,199.0547727,0.018179848
0.256988567,199.0550838,0.018169991
0.257990458,199.0550887,0.018160171
0.258989598,199.0547905,0.018150772
0.260009792,199.0542653,0.01814182
0.260985875,199.0535597,0.018132934
0.262007628,199.0528491,0.018123943
0.263008933,199.0521045,0.018115039
0.264004535,199.0513456,0.01810599
0.265007886,199.050425,0.018097297
0.266007294,199.0495501,0.018088485
0.267003972,199.0487684,0.018079992
0.268005788,199.0479332,0.018071236
0.269002719,199.0467856,0.018062568
0.270005233,199.0458267,0.018053483
0.271001877,199.0448833,0.018044054
0.272002559,199.0439106,0.018034524
0.273001805,199.0430507,0.018025004
0.274002803,199.0421702,0.018015908
0.275001364,199.0413149,0.018006924
0.275999132,199.0404384,0.017997867
0.276998624,199.0394706,0.017988881
0.277999604,199.0384407,0.017980017
0.279000944,199.0375305,0.017971305
0.280000415,199.0368286,0.017962378
0.280997409,199.036034,0.017953642
0.281996578,199.0351444,0.017944987
0.283001393,199.0344367,0.017936361
0.283995616,199.0337217,0.017927598
0.284998202,199.0329678,0.017919463
0.285998248,199.0322345,0.017911364
0.286993381,199.0315134,0.017903127
0.287993918,199.0309786,0.017895199
0.289014128,199.0305909,0.017887512
0.29001297,199.0304756,0.017879701
0.290989768,199.0305296,0.017871776
0.291985179,199.0306039,0.017864141
0.292988083,199.0305445,0.017856643
0.293988539,199.0305197,0.017849458
0.294998643,199.0303051,0.017842295
0.296006989,199.0301127,0.017835075
0.297005337,199.0299694,0.017828263
0.298007262,199.0299882,0.017821853
0.299006127,199.0300685,0.01781559
0.300006391,199.0302452,0.017809709
0.301005971,199.0303315,0.017803989
0.302005076,199.0306059,0.017798603
0.30300531,199.0308747,0.017793138
0.304002254,199.031133,0.017787856
0.305002719,199.0315434,0.0177823
0.306001425,199.0319485,0.017776652
0.307002544,199.0323157,0.017771017
